smirks,initial_epsilon,final_epsilon,initial_rmin_half,final_rmin_half,% epsilon,% rmin_half,SMIRKS
[#1:1]-[#6X4],0.01577948280971,0.01533643204911,1.48419980825,1.475884390563,-2.807764778750339,-0.5602626843622064,[#1:1]-[#6X4]
"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",0.01640924602775,0.01587959372206,1.449786411317,1.439302740228,-3.227767472035547,-0.7231183164061027,[#1:1]-[#6X4]-[ENA]
"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",0.0157,0.01549238198752,1.287,1.296139944261,-1.322407722802544,0.7101743792540844,[#1:1]-[#6X4](-[ENA])-[ENA]
"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",0.0157,0.01475879301236,1.187,1.189938417305,-5.9949489658598685,0.2475498993260317,[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
[#1:1]-[#6X3],0.01561134320353,0.01744194561106,1.443812569645,1.429663287296,11.726104433576673,-0.9799944013840318,[#1:1]-[#6X3]
"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",0.01310699839698,0.01419608060774,1.377051329051,1.367850198445,8.309165666877156,-0.6681762990157398,[#1:1]-[#6X3]~[ENA]
"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",0.01479744504464,0.01520430659951,1.370482808197,1.3823926168,2.749539218713812,0.8690228386497268,[#1:1]-[#6X3](~[ENA])~[ENA]
[#1:1]-[#7],0.01409081474669,0.01286994860654,0.6192778454102,0.6249682932379,-8.664269327909428,0.9188844506347135,[#1:1]-[#7]
[#1:1]-[#8],1.232599966667e-05,0.0,0.2999999999997,0.300000000004,-100.0,1.4333349322266646e-09,[#1:1]-[#8]
[#6:1],0.0868793154488,0.09031230623308,1.953447017081,1.977945375636,3.951447783106832,1.2541091895907812,[#6:1]
[#6X2:1],0.21,0.2100571058251,1.908,1.901100554743,0.027193250047627536,-0.3616061455450695,[#6X2:1]
[#6X4:1],0.1088406109251,0.1083998128369,1.896698071741,1.910186190362,-0.40499413266187534,0.7111368341624972,[#6X4:1]
[#8:1],0.2102061007896,0.2105319990352,1.706036917087,1.723656918579,0.15503748196452327,1.0328030604452336,[#8:1]
[#8X2H0+0:1],0.1684651402602,0.1673600170699,1.697783613804,1.709798226629,-0.6559951741904063,0.7076645532041913,[#8X2H0+0:1]
[#8X2H1+0:1],0.2094735324129,0.2080892249208,1.682099169199,1.6698896967,-0.6608507891924732,-0.7258473651594441,[#8X2H1+0:1]
[#7:1],0.1676915150424,0.1676909172724,1.799798315098,1.829481996746,-0.0003564700336065829,1.6492782218425335,[#7:1]
[#17:1],0.2656001046527,0.2653985438512,1.85628721824,1.857794697244,-0.07588882608445671,0.08120936184806735,[#17:1]
[#35:1],0.3218986365974,0.3223654826988,1.969806594135,1.933159424409,0.1450289154172177,-1.8604450728876185,[#35:1]
